,0
352,-3415.203170330783
353,-3416.7158780572954
354,-3417.054668511861
355,-3415.545335741951
356,-3415.4362931989012
357,-3415.2559179295476
358,-3415.380392773874
359,-3415.342188271721
360,-3415.87540974506
361,-3415.539926450316
362,-3415.1242049073717
363,-3414.2414783803447
364,-3414.0952442842854
365,-3415.0624429609793
366,-3414.9580840600547
367,-3414.8075743293275
368,-3414.8021431292727
369,-3415.03178052189
370,-3414.819170624298
371,-3415.8344081793343
372,-3414.3855407801934
373,-3415.1100709073103
374,-3413.6660696839463
375,-3415.890150803183
376,-3416.317979469537
377,-3416.2778884246736
378,-3416.682544480341
379,-3416.486509329967
380,-3416.758407462469
381,-3416.4398114735923
382,-3416.4214675607345
383,-3416.2829974640963
384,-3416.250755234615
385,-3416.050628129653
386,-3416.5802389847568
387,-3414.6335806318734
388,-3415.220671141622
389,-3414.7790733975116
390,-3414.5203565431916
391,-3414.647626170943
392,-3414.5158015763363
393,-3414.449265582404
394,-3415.530352515357
395,-3415.556532434554
396,-3415.4369726591717
397,-3415.322935869556
398,-3415.6210307264337
399,-3414.543398410532
400,-3414.2570331914258
401,-3414.312233464283
402,-3418.079894759326
403,-3418.3901179362783
404,-3417.8658020475914
405,-3419.0510814703657
406,-3418.5195830061807
407,-3418.850583983146
408,-3418.793906857217
409,-3419.004438265183
410,-3418.424692265034
411,-3419.237250864215
412,-3418.7564222221636
413,-3418.125947254826
414,-3418.04550072817
415,-3418.012440524778
416,-3419.1546451379954
417,-3415.4944695393983
418,-3415.0219556381703
419,-3414.181705955608
420,-3414.0876093958777
421,-3414.3529653160977
422,-3415.1969763832317
423,-3414.6623375531226
424,-3414.373557982636
425,-3414.027139270655
426,-3413.65085486294
427,-3413.4840165688674
428,-3413.4918661391025
429,-3414.8546783945762
430,-3414.5176856377684
431,-3414.4456929300677
432,-3413.933323229622
433,-3414.1412878887472
434,-3414.5116286395833
435,-3414.3381856823617
436,-3415.654658396695
437,-3413.858343862993
438,-3413.677177278614
439,-3414.707370561079
440,-3413.9798842011014
441,-3414.1400674426704
442,-3413.672541316024
443,-3413.697788912317
444,-3413.6447942194864
445,-3413.9063806505296
446,-3413.7800303596096
447,-3414.501793291208
448,-3414.6745988856574
449,-3414.163290872007
450,-3414.624721237248
451,-3415.040609931335
452,-3415.075490815434
453,-3414.422918050233
454,-3414.2715344526123
455,-3414.3482532471144
456,-3414.169401401617
457,-3414.1212670077293
458,-3414.3367337830196
459,-3415.013212371142
460,-3414.150639458098
461,-3415.517131135732
462,-3414.1947906730775
463,-3416.739129736363
464,-3416.5778337891065
465,-3416.48474446574
466,-3414.7734997781167
467,-3415.532995583416
468,-3415.827172997822
469,-3416.940576289734
470,-3417.450334629839
471,-3418.81725426584
472,-3417.0154355023683
473,-3416.4709550043713
474,-3416.504075606274
475,-3416.4043376269456
476,-3416.844539596422
477,-3416.8317981856876
478,-3416.52747671797
479,-3416.9005610622917
480,-3416.476519509697
481,-3415.8685662294215
482,-3415.852991526018
483,-3415.903470266458
484,-3415.923872819178
485,-3417.2741469591256
486,-3416.726701450891
487,-3416.52536623368
488,-3415.879805820152
489,-3414.675853393628
490,-3414.3760013559786
491,-3415.2473899156416
492,-3416.245313953147
493,-3415.410581958074
494,-3415.372999778553
495,-3414.450536223391
496,-3414.7325932464196
497,-3414.9710242667943
498,-3415.023606785633
