,C1_lm,a_gamma_lm,b_gamma_lm,coef_flow,beta,const_flow,stage_flow,std_lm,met_input
131,29857638.867,1.000,37.720,-6436.951,1.190,-38186.776,15.500,112610.565,Rch_000
132,29857638.867,1.000,37.720,-6436.951,1.190,-38186.776,15.500,110422.929,Rch_000
133,29857638.867,1.000,37.720,-6425.179,1.190,-38186.776,15.500,110422.929,Rch_000
134,29857638.867,1.000,37.720,-6425.179,1.190,-38186.776,15.500,111014.112,Rch_000
135,29857638.867,1.000,37.720,-6434.752,1.190,-38186.776,15.500,111014.112,Rch_000
136,29857638.867,1.000,37.720,-6434.752,1.190,-38186.776,15.500,112237.618,Rch_000
137,29857638.867,1.000,37.720,-6431.842,1.190,-38186.776,15.500,112237.618,Rch_000
138,29857638.867,1.000,37.720,-6431.842,1.190,-38186.776,15.500,112723.110,Rch_000
139,29808580.017,1.000,37.720,-6431.842,1.190,-38186.776,15.500,112723.110,Rch_000
140,29808580.017,1.000,37.720,-6394.242,1.190,-38186.776,15.500,112723.110,Rch_000
141,29808580.017,1.000,37.720,-6394.242,1.190,-38281.357,15.500,112723.110,Rch_000
142,29808580.017,1.000,37.645,-6394.242,1.190,-38281.357,15.500,112723.110,Rch_000
143,29808580.017,1.000,37.645,-6394.242,1.190,-38281.357,15.500,113564.301,Rch_000
144,29808580.017,1.000,36.946,-6394.242,1.190,-38281.357,15.500,113564.301,Rch_000
145,29725350.869,1.000,36.946,-6394.242,1.190,-38281.357,15.500,113564.301,Rch_000
146,29725350.869,1.000,36.946,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
147,29725350.869,1.000,37.035,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
148,29725350.869,1.000,37.154,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
149,29721821.334,1.000,37.154,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
150,29721821.334,1.000,37.154,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
151,29721821.334,1.000,37.488,-6371.311,1.190,-38281.357,15.500,113564.301,Rch_000
152,29721821.334,1.000,37.488,-6371.311,1.190,-38281.357,15.500,113074.270,Rch_000
153,29721821.334,1.000,37.488,-6371.311,1.190,-38281.357,15.500,119054.554,Rch_000
154,29721821.334,1.000,37.488,-6371.311,1.190,-38281.357,15.500,112775.220,Rch_000
155,29721821.334,1.000,37.362,-6371.311,1.190,-38281.357,15.500,112775.220,Rch_000
156,29721821.334,1.000,37.362,-6357.084,1.190,-38281.357,15.500,112775.220,Rch_000
157,29721821.334,1.000,37.362,-6357.084,1.190,-38281.357,15.500,108049.449,Rch_000
158,29721821.334,1.000,36.944,-6357.084,1.190,-38281.357,15.500,108049.449,Rch_000
159,29721821.334,1.000,36.944,-6386.965,1.190,-38281.357,15.500,108049.449,Rch_000
160,29721821.334,1.000,36.944,-6386.965,1.190,-38281.357,15.500,109321.375,Rch_000
161,29721821.334,1.000,36.596,-6386.965,1.190,-38281.357,15.500,109321.375,Rch_000
162,29721821.334,1.000,36.596,-6390.543,1.190,-38281.357,15.500,109321.375,Rch_000
163,29721821.334,1.000,36.264,-6390.543,1.190,-38281.357,15.500,109321.375,Rch_000
164,29721821.334,1.000,36.264,-6391.879,1.190,-38281.357,15.500,109321.375,Rch_000
165,29721821.334,1.000,36.264,-6391.879,1.189,-38281.357,15.500,109321.375,Rch_000
166,29721821.334,1.000,36.876,-6391.879,1.189,-38281.357,15.500,109321.375,Rch_000
167,29721821.334,1.000,36.876,-6391.879,1.189,-38281.357,15.500,108857.898,Rch_000
168,29721821.334,1.000,36.564,-6391.879,1.189,-38281.357,15.500,108857.898,Rch_000
169,29721821.334,1.000,36.564,-6391.879,1.189,-38153.556,15.500,108857.898,Rch_000
170,29721821.334,1.000,36.564,-6391.879,1.189,-38153.556,15.500,116750.186,Rch_000
171,29721821.334,1.000,36.564,-6391.879,1.190,-38153.556,15.500,116750.186,Rch_000
172,29721821.334,1.000,36.866,-6391.879,1.190,-38153.556,15.500,116750.186,Rch_000
173,29721821.334,1.000,36.866,-6391.879,1.190,-38153.556,15.500,110550.063,Rch_000
174,29721821.334,1.000,36.866,-6376.396,1.190,-38153.556,15.500,110550.063,Rch_000
175,29721821.334,1.000,36.866,-6376.396,1.190,-38153.556,15.500,110774.081,Rch_000
176,29721821.334,1.000,36.866,-6376.396,1.190,-38153.556,15.500,108837.058,Rch_000
177,29721821.334,1.000,36.835,-6376.396,1.190,-38153.556,15.500,108837.058,Rch_000
178,29721821.334,1.000,36.835,-6376.396,1.190,-38153.556,15.500,109339.857,Rch_000
179,29721821.334,1.000,36.835,-6384.494,1.190,-38153.556,15.500,109339.857,Rch_000
180,29721821.334,1.000,36.998,-6384.494,1.190,-38153.556,15.500,109339.857,Rch_000
181,29721821.334,1.000,37.142,-6384.494,1.190,-38153.556,15.500,109339.857,Rch_000
182,29747098.302,1.000,37.142,-6384.494,1.190,-38153.556,15.500,109339.857,Rch_000
