,0
168,-3398.056015062578
169,-3399.2686750899575
170,-3399.248367209641
171,-3399.252416899556
172,-3400.216532803591
173,-3400.2218300775526
174,-3400.98694785507
175,-3400.9906991494217
176,-3400.995960880131
177,-3400.99017171191
178,-3400.0123738140346
179,-3400.0134631709825
180,-3400.010940242355
181,-3400.010923885131
182,-3400.4715053711993
183,-3399.7248959507224
184,-3399.7360354949515
185,-3398.535196006822
186,-3398.521437726989
187,-3398.3663451295156
188,-3398.3496287281223
189,-3398.433326658394
190,-3398.421827044986
191,-3398.267077886594
192,-3398.400647608724
193,-3398.4248730530016
194,-3398.3511959906755
195,-3398.444430082467
196,-3399.0380311790286
197,-3399.117294056371
198,-3399.1193230165436
199,-3399.699642469195
200,-3398.230879151442
201,-3399.219401069267
202,-3399.2275979784035
203,-3398.607647073281
204,-3398.5870723210674
205,-3398.5996260487145
206,-3398.627936245483
207,-3398.606958567976
208,-3397.616870843801
209,-3397.493313711989
210,-3399.028248329377
211,-3398.9953147293545
212,-3399.0439777015395
213,-3399.0596555494467
214,-3397.317590398133
215,-3397.324356102017
216,-3397.3295496896217
217,-3398.0959820774133
218,-3399.71942227248
219,-3399.602293533154
220,-3400.1898944825716
221,-3400.212938841111
222,-3400.084428071325
223,-3400.076046523904
224,-3400.0983844564985
225,-3401.6386359559006
226,-3402.991440724294
227,-3402.9920750151105
228,-3402.9764212977066
229,-3403.105836322443
230,-3403.216776677535
231,-3403.232880621332
232,-3404.68835675923
233,-3401.175719961966
234,-3397.595974534108
235,-3398.841621474923
236,-3399.2062047445143
237,-3399.4863430770206
238,-3400.002715666044
239,-3399.97525280218
240,-3398.8077974716216
241,-3398.8134792460664
242,-3398.0384511026487
243,-3397.34008689935
244,-3397.3413280992086
245,-3397.9150931557792
246,-3397.916960595954
247,-3397.91039325192
248,-3399.9666460072463
249,-3398.388408796791
250,-3398.40859272497
251,-3397.3702184646863
252,-3397.370359378486
253,-3397.3225503094422
254,-3397.323245826687
255,-3398.338156004196
256,-3398.32598491308
257,-3398.266075728208
258,-3398.2712282643547
259,-3398.8918077301714
260,-3399.0779955979083
261,-3399.0815857863563
262,-3399.385675769108
263,-3399.3858209475684
264,-3399.3856017176768
265,-3400.277544779298
266,-3399.1500254628945
267,-3399.167355813578
268,-3398.4900476090984
269,-3398.5036293417224
270,-3398.5044868086948
271,-3398.5104518668013
272,-3398.5221833937635
273,-3398.5215100721143
274,-3398.0645788643615
275,-3398.0620124757424
276,-3398.0652780009227
277,-3398.800881985627
278,-3398.800232573076
279,-3398.8481622015465
280,-3398.4930652451662
281,-3397.5169199335187
282,-3397.5120536370187
283,-3397.604087922205
284,-3397.5902548404433
285,-3397.5882731877764
286,-3397.5730848369567
287,-3397.5848254825532
288,-3397.5824058864537
289,-3398.8854510774663
290,-3398.8612279423446
291,-3397.4355166502023
292,-3397.43673320121
293,-3397.7157510210045
294,-3398.1082610547646
295,-3398.1076180128302
296,-3398.1116615022834
297,-3399.272404750571
298,-3399.719381799906
299,-3401.0560614626775
300,-3401.032672917433
301,-3399.9018929001486
302,-3399.9015375867134
303,-3399.584994514627
304,-3399.149855283516
305,-3399.0091400120637
306,-3399.0116134186096
307,-3399.0932162990625
308,-3399.0936321956506
309,-3398.9832741395976
310,-3398.983220742687
311,-3398.9826358627643
312,-3399.8879691401767
313,-3399.8961910566604
314,-3399.090558720055
315,-3398.9360518579515
316,-3398.935798832449
317,-3398.937070083826
318,-3398.936416819204
319,-3399.020663739543
320,-3401.3178662043856
321,-3399.0904320734935
322,-3399.0872462556863
323,-3399.081817602523
324,-3399.0780733568436
325,-3399.1194559520754
326,-3399.1070917089482
327,-3399.4023521598183
328,-3399.410567453797
329,-3398.158665157313
330,-3398.147732426204
331,-3398.0153448791493
332,-3398.005660312687
333,-3398.9406423010923
334,-3398.855534465418
335,-3398.8597865499887
336,-3398.6923439454085
337,-3399.5786674590736
338,-3399.577359193302
339,-3399.5763678626427
340,-3399.6303686452675
341,-3399.6243612573726
342,-3399.850602534718
343,-3398.525773939138
344,-3399.4548363295717
345,-3399.4651527789074
346,-3399.46807290314
347,-3398.9155790612176
348,-3399.9388527097612
349,-3399.041278976725
350,-3399.045058919689
351,-3399.0527220488793
352,-3399.96394484142
353,-3399.955689611625
354,-3399.7980505302958
355,-3399.794206857452
356,-3399.0542803796334
357,-3399.0555349734277
358,-3398.81558751045
359,-3399.375459009797
360,-3398.8661008451436
361,-3397.845199907612
362,-3397.8478028764725
363,-3400.863761928532
364,-3400.857186857001
365,-3399.1423376232397
366,-3399.429690442639
367,-3399.228846417258
368,-3399.2208434066456
369,-3399.2365905413153
370,-3397.409225040141
371,-3397.4091611989425
372,-3397.4025413056
373,-3397.407236387064
374,-3399.7214492751245
375,-3399.7474642456996
376,-3399.5741162301188
377,-3399.852724647978
378,-3399.8357166265782
379,-3399.8182262782493
380,-3399.7516810912493
381,-3399.7854643149767
382,-3397.2151547382723
383,-3397.1934699299113
384,-3399.7030451011733
385,-3399.7017828676007
386,-3399.572136160915
387,-3397.7613892353183
388,-3398.3166267371
389,-3398.321146168242
390,-3398.4300021688596
391,-3398.424874129202
392,-3398.4151020524714
393,-3398.2933603440642
394,-3398.302176066354
395,-3398.2892164320892
396,-3398.266375676603
397,-3397.8627723447853
398,-3397.2343812910062
