,C1_em,C0_em,a_gamma_em,b_gamma_em,std_em,met_input
107,1335997921.782,-3197289.928,1.925,41.330,112269.407,Rch_005
108,1335997921.782,-3197289.928,1.922,41.330,112269.407,Rch_005
109,1335997921.782,-3197289.928,1.922,41.328,112269.407,Rch_005
110,1335997921.782,-3197289.928,1.925,41.328,112269.407,Rch_005
111,1335997921.782,-3199759.007,1.925,41.328,112269.407,Rch_005
112,1335997921.782,-3199759.007,1.918,41.328,112269.407,Rch_005
113,1335997921.782,-3199759.007,1.936,41.328,112269.407,Rch_005
114,1335997921.782,-3199759.007,1.922,41.328,112269.407,Rch_005
115,1335997921.782,-3199759.007,1.922,41.328,95302.053,Rch_005
116,1335997921.782,-3199759.007,1.926,41.328,95302.053,Rch_005
117,1335997921.782,-3199759.007,1.926,41.326,95302.053,Rch_005
118,1338681138.410,-3199759.007,1.926,41.326,95302.053,Rch_005
119,1338681138.410,-3199759.007,1.926,41.329,95302.053,Rch_005
120,1338681138.410,-3199759.007,1.930,41.329,95302.053,Rch_005
121,1338681138.410,-3199759.007,1.930,41.325,95302.053,Rch_005
122,1338681138.410,-3199759.007,1.930,41.329,95302.053,Rch_005
123,1338681138.410,-3199759.007,1.930,41.329,99177.518,Rch_005
124,1338681138.410,-3193040.410,1.930,41.329,99177.518,Rch_005
125,1338681138.410,-3193040.410,1.930,41.332,99177.518,Rch_005
126,1338681138.410,-3195774.537,1.930,41.332,99177.518,Rch_005
127,1338327036.995,-3195774.537,1.930,41.332,99177.518,Rch_005
128,1338327036.995,-3202311.673,1.930,41.332,99177.518,Rch_005
129,1338327036.995,-3207670.873,1.930,41.332,99177.518,Rch_005
130,1338327036.995,-3207670.873,1.930,41.332,103238.895,Rch_005
131,1338327036.995,-3207670.873,1.930,41.333,103238.895,Rch_005
132,1338327036.995,-3207670.873,1.930,41.331,103238.895,Rch_005
133,1338327036.995,-3207670.873,1.930,41.328,103238.895,Rch_005
134,1338327036.995,-3207670.873,1.930,41.331,103238.895,Rch_005
135,1342525840.008,-3207670.873,1.930,41.331,103238.895,Rch_005
136,1342525840.008,-3207670.873,1.929,41.331,103238.895,Rch_005
137,1342525840.008,-3207670.873,1.929,41.336,103238.895,Rch_005
138,1342525840.008,-3207670.873,1.929,41.332,103238.895,Rch_005
